#{"t_start": 1659292634.8747811, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-16.493184,100,21.010803
17.515456,100,44.957788
65.835747,100,73.697159
24.246875,100,101.754997
39.605236,100,134.941277
87.46896,100,168.532977
-26.978646,100,193.208043
66.20084,100,226.315017
-135.101833,100,258.978739
-131.963436,100,292.664667
71.740776,100,327.634489
18.356239,100,360.657949
51.863594,100,397.075705
-53.047712,100,430.041122
-32.948667,100,461.651064
25.08421,100,496.832577
75.200644,100,531.428383
-38.081357,100,570.63822
69.04601,100,609.81149
-68.866024,100,646.385026
6.65325,100,682.366574
-22.960972,100,713.681156
59.986082,100,745.641757
64.884993,100,778.904822
77.08474,100,812.571296
83.108318,100,848.159496
71.177028,100,885.671405
76.524408,100,920.97302
89.473659,100,955.239282
65.265573,100,989.133434
3.895233,100,1025.098885
-31.788238,100,1059.261692
79.59798,100,1094.792336
80.086786,100,1129.769267
76.383669,100,1165.731713
67.754215,100,1200.573641
83.408235,100,1237.635334
69.577652,100,1272.493732
6.645348,100,1311.768242
74.913113,100,1349.072479
-64.108052,100,1386.009461
45.577764,100,1427.592289
86.33093,100,1467.82349
86.409077,100,1506.584583
75.564668,100,1545.366278
77.282906,100,1587.881461
82.829505,100,1625.305754
71.076461,100,1662.961013
62.681621,100,1699.75776
32.068986,100,1736.67179
-12.035051,100,1776.535645
77.343558,100,1815.734779
86.813288,100,1855.765545
84.415609,100,1896.268916
82.411295,100,1935.61891
81.726306,100,1975.479273
63.986191,100,2016.228945
81.622864,100,2058.850761
58.933301,100,2102.661268
68.688532,100,2145.107288
51.793704,100,2185.051462
58.737353,100,2224.909268
77.573,100,2267.271683
78.060626,100,2309.274315
9.211394,100,2350.559754
66.559795,100,2392.705133
78.339476,100,2435.902553
80.442428,100,2479.733681
80.915046,100,2523.143583
78.509688,100,2567.484468
25.492294,100,2611.967117
78.480495,100,2656.890834
83.80764,100,2703.400199
82.864883,100,2746.911409
79.765769,100,2789.354742
73.923254,100,2833.970344
86.56089,100,2878.829975
71.326276,100,2923.914755
73.2213,100,2969.087438
76.042014,100,3013.963365
86.848106,100,3058.321446
84.937206,100,3102.764311
85.295266,100,3147.273333
-43.134384,100,3190.07295
81.704028,100,3237.298705
82.421093,100,3286.161653
81.862858,100,3335.648199
76.141682,100,3385.627824
68.332676,100,3434.343302
80.44697,100,3484.885495
79.851911,100,3526.34107
76.364156,100,3572.538808
66.299033,100,3619.859585
82.938338,100,3667.490184
81.507251,100,3713.018057
82.71698,100,3762.822031
81.606108,100,3809.400513
69.834572,100,3857.650554
82.384655,100,3903.619895
80.580034,100,3948.307984
87.119423,100,3995.085176
77.857193,100,4044.326705
64.361988,100,4093.635978
84.080657,100,4146.223998
84.518304,100,4195.300585
83.455686,100,4245.40161
84.952487,100,4297.077291
76.124029,100,4347.196169
78.240169,100,4396.315184
73.820397,100,4443.615471
82.173213,100,4492.192043
76.00354,100,4540.149095
88.541908,100,4586.830646
77.560641,100,4636.801265
83.707728,100,4687.356703
73.928557,100,4737.438949
40.219223,100,4789.271376
-36.563604,100,4840.842041
-7.20571,100,4887.607651
-5.99464,100,4936.410673
79.398364,100,4988.567659
-97.973679,100,5021.85.69444-68.724708,100,506784.21567-25.801171,100,511976.120486-29.652567,100,51668.936234,68.873679,100,52281.942672,65.153945,100,52882.472036,74.618692,100,53382.729194,-26.427431,100,5379.915022,146.880135,100,5487.686314,163.064843,100,5531.387098,177.525715,100,5575.381002,1-51.035735,100,583.222474,100,5733.559044
81.442847,100,5789.631658
74.952377,100,5846.393505
80.668471,100,5901.582549
75.408392,100,5956.814552
84.36015,100,6012.604744
34.034915,100,6072.582718,172.380983,100,6128.861238
87.724943,100,6156.314574,174.658678,100,6242.845024
85.808801,100,6301.276488
82.564284,100,6358.666484
84.95013,100,6415.674694
82.901592,100,6473.46778
87.33655,100,6529.978132
83.323964,100,6588.467138
