#{"t_start": 1659292634.7532039, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-33.44275,100,21.16526
-13.627346,100,45.116807
7.811427,100,73.783536
18.903169,100,101.988774
47.595443,100,135.139037
77.85808,100,168.761382
-3.024896,100,193.276948
51.95466,100,226.321394
-10.562222,100,258.907672
-139.170322,100,292.75287
-94.28872,100,327.605789
8.166313,100,360.711169
72.415139,100,397.122869
64.107768,100,430.130856
16.306948,100,461.794174
45.598138,100,497.068494
70.151817,100,531.594016
73.89251,100,570.807625
63.839782,100,609.913209
76.901279,100,646.582702
75.100511,100,682.584713
-19.929082,100,713.768007
42.053504,100,745.858172
81.701761,100,778.956535
-6.780108,100,812.663692
75.966605,100,848.234238
72.598184,100,885.817113
-97.748493,100,921.031986
5.843466,100,955.401073
66.43909,100,989.125416
17.59462,100,1025.199466
38.460631,100,1059.393801
81.908053,100,1094.924505
78.555749,100,1129.921076
77.035939,100,1165.92996
73.940019,100,1200.671691
53.436178,100,1237.648729
83.043794,100,1272.629296
43.826501,100,1311.896389
79.681843,100,1349.225132
70.258009,100,1386.264889
69.290699,100,1427.748766
74.066233,100,1467.892104
74.844795,100,1506.709417
84.574761,100,1545.531066
86.002238,100,1587.914105
-90.934709,100,1625.321464
83.717097,100,1663.053843
83.894701,100,1699.817317
48.051425,100,1736.844184
39.601189,100,1776.579019
69.007085,100,1815.829736
73.982451,100,1855.885511
83.254536,100,1896.415034
81.098136,100,1935.755739
83.419771,100,1975.565562
68.794217,100,2016.367625
84.706618,100,2058.937718
73.894673,100,2102.915339
81.506504,100,2145.229244
78.054058,100,2185.170891
56.167289,100,2224.996359
84.711574,100,2267.40405
81.689851,100,2309.381169
87.922757,100,2350.607719
67.866922,100,2392.811617
84.711838,100,2435.972024
76.746623,100,2479.889115
75.507379,100,2523.307189
-2.805896,100,2567.547477
68.020844,100,2612.008615
56.650758,100,2657.109527
43.218975,100,2703.520803
82.191145,100,2746.943235
72.460555,100,2789.491452
71.012005,100,2834.143029
76.115553,100,2878.914817
83.272245,100,2924.035562
78.356575,100,2969.114994
82.283528,100,3014.136299
82.476542,100,3058.464503
83.352222,100,3102.877218
76.835379,100,3147.387752
73.372083,100,3190.235389
80.06518,100,3237.403247
81.523038,100,3286.186074
84.803038,100,3335.861616
83.351623,100,3385.710616
84.529319,100,3434.493617
-0.097441,100,3484.761654
-3.406033,100,3526.478753
79.129561,100,3572.668685
85.414853,100,3619.980129
81.542958,100,3667.643278
78.206558,100,3713.154656
78.670393,100,3763.033357
76.854856,100,3809.515406
83.955819,100,3857.804177
78.509044,100,3903.732134
84.15053,100,3948.421297
69.636916,100,3995.181074
85.983904,100,4044.436388
84.055818,100,4093.723329
80.263974,100,4146.293365
81.704766,100,4195.406131
83.56505,100,4245.515748
73.447482,100,4297.116093
84.55058,100,4347.32586
74.759277,100,4396.460355
79.347658,100,4443.725592
83.263438,100,4492.319778
74.333601,100,4540.272567
73.456049,100,4586.954251
76.427141,100,4636.91543
70.599466,100,4687.464088
56.319619,100,4737.542002
-78.758765,100,4789.334409
-39.316593,100,4840.667607
-9.009162,100,4887.693886
2.569489,100,4936.525309
-33.86879,100,4988.395601
-69.72.546299,100,5103.60501-8977.625561,100,5158.391751-180.708207,100,5211.266136-83.49267,100,5265.869303
80.400301,100,5319.397366
80.160616,100,5373.222513
86.699423,100,5428.912366
80.950321,100,5491.251887
79.975674,100,5551.328791
-25.464912,100,5609.118036
79.289267,100,5671.424997
83.768208,100,5733.483929
80.253445,100,5789.611035
83.086101,100,5846.338826
87.604235,100,5901.518703
84.376032,100,5956.803703
83.570969,100,6012.543618
76.002805,100,6068.538882
84.973988,100,6128.797752
-31.760869,100,6185.496179
84.321374,100,6242.797015
88.383648,100,6301.249332
76.534802,100,6358.652304
85.34584,100,6415.676164
81.877274,100,6473.457098
74.223321,100,6529.92048
72.891567,100,6588.391556
70.879943,100,6646.01502
87.768788,100,6706.521341
78.85438,100,6764.105931
86.010542,100,6822.27703
85.667948,100,6882.36691
81.761772,100,6940.593093
77.978213,100,7000.909772
80.678383,100,7058.179989
84.217484,100,7116.283945
86.642065,100,7174.162899
74.588456,100,7232.596267
89.788632,100,7295.802696
-8.442369,100,7358.326452
78.447451,100,7420.4593
65.810447,100,7483.71051
84.412008,100,7547.48874
73.800726,100,7612.929679
77.114096,100,7676.748613
72.867046,100,7740.855279
87.756039,100,7802.202268
74.30964,100,7865.102464
89.760287,100,7926.56559
73.517268,100,7991.604617
67.854159,100,8055.188084
81.034002,100,8117.060798
78.75116,100,8177.655054
84.220796,100,8241.319938
85.357689,100,8303.94757
83.590862,100,8371.326401
78.449883,100,8440.187441
83.515225,100,8508.771588
87.437498,100,8575.658283
85.411459,100,8643.38178
84.710722,100,8708.009341
84.074707,100,8774.578461
75.567345,100,8842.98688
79.685822,100,8906.717702
84.245913,100,8971.939543
80.171569,100,9038.298688
83.905517,100,9104.698613
79.022226,100,9172.47827
68.811892,100,9240.372208
89.112246,100,9310.301045
74.026681,100,9379.489852
87.513433,100,9449.282125
77.003091,100,9518.885465
80.287106,100,9587.462161
82.495329,100,9658.606325
81.081185,100,9729.951727
81.848787,100,9800.791419
84.232966,100,9872.146188
86.415092,100,9942.113156
72.712681,100,10012.574098
83.618906,100,10081.237629
75.290796,100,10153.634849
83.656641,100,10227.691574
87.508822,100,10298.942818
81.147774,100,10376.271645
83.927666,100,10449.9217
81.4602,100,10521.851024
84.001265,100,10594.543107
75.231817,100,10666.777533
83.66077,100,10737.667241
87.235457,100,10808.130074
86.851376,100,10877.943356
76.108142,100,10947.191891
80.763562,100,11017.253331
81.560904,100,11085.242321
86.199475,100,11154.88597
83.856108,100,11223.790291
87.592506,100,11293.59051
80.3782,100,11364.303629
83.997827,100,11435.533618
73.888533,100,11506.682646
74.780406,100,11577.622386
60.375058,100,11652.986843
75.780603,100,11724.973126
80.476592,100,11796.172299
79.822373,100,11868.179189
86.841357,100,11937.647545
80.823919,100,12008.995663
81.869648,100,12079.88005
85.702143,100,12152.557184
84.418342,100,12225.155342
83.966414,100,12297.01247
76.898085,100,12368.005519
70.380259,100,12438.958713
84.176274,100,12508.586232
73.209492,100,12579.685284
86.159146,100,12651.519608
80.694851,100,12723.876206
88.097063,100,12796.870354
84.015527,100,12872.201304
85.466125,100,12947.312036
86.358414,100,13022.895171
74.604254,100,13100.27693
84.397407,100,13176.358234
84.254778,100,13252.383613
84.741819,100,13329.264755
83.057021,100,13405.399135
81.346655,100,13483.241408
89.448527,100,13559.806731
82.709632,100,13634.386079
84.213544,100,13711.492708
88.228257,100,13786.060929
83.510373,100,13862.078896
85.225978,100,13938.383674
86.088255,100,14014.766518
81.750447,100,14094.544011
86.08728,100,14175.406975
82.010812,100,14254.486768
80.70967,100,14334.507226
84.249215,100,14415.501501
85.88452,100,14496.49049
83.878098,100,14576.644465
78.557628,100,14655.150293
86.019547,100,14732.09924
70.746589,100,14809.777013
73.477832,100,14887.445143
48.470681,100,14966.127713
77.895212,100,15044.336798
78.925853,100,15127.665579
85.675652,100,15210.85081
77.690646,100,15292.972842
87.776217,100,15373.748967
79.221825,100,15457.848469
83.40349,100,15539.39439
31.298066,100,15620.000329
85.802928,100,15701.240273
1.303418,100,15787.60244
65.992259,100,15870.079726
66.580353,100,15953.274596
81.70508,100,16033.498435
77.667403,100,16117.041111
84.433018,100,16197.936839
83.703778,100,16283.645519
69.23741,100,16371.632321
76.214592,100,16457.961102
82.652893,100,16543.18929
79.579555,100,16626.437447
83.565326,100,16709.887393
79.89739,100,16794.803993
87.09884,100,16878.478428
85.132645,100,16961.370239
72.012494,100,17046.026805
84.029047,100,17132.423059
79.15068,100,17217.431915
83.49481,100,17301.693882
87.846715,100,17387.161789
84.760181,100,17469.670609
77.290104,100,17554.837983
87.274459,100,17637.692482
76.946883,100,17723.098053
87.069897,100,17807.700169
77.074242,100,17892.370458
73.017281,100,17977.677091
81.045528,100,18062.427432
83.86289,100,18151.56759
78.569844,100,18239.71545
84.565956,100,18324.047059
73.516306,100,18408.134664
76.766954,100,18495.58046
86.738259,100,18582.748281
87.786535,100,18669.642096
72.437003,100,18758.338588
1.173265,100,18845.760894
88.134216,100,18931.349653
77.134446,100,19019.016767
85.680487,100,19105.457721
86.887554,100,19192.491948
86.853674,100,19279.200658
86.555815,100,19367.776703
74.554803,100,19456.114279
74.489154,100,19544.050544
85.491883,100,19633.353853
84.859782,100,19722.197337
78.733758,100,19812.045014
76.2,100,19902.099664
83.727203,100,19993.183904
81.821941,100,20084.189331
82.84732,100,20175.81684
84.218299,100,20266.376578
83.685224,100,20357.141004
81.794087,100,20449.362808
84.293283,100,20539.778274
84.733526,100,20632.022806
88.383918,100,20720.459375
82.054583,100,20811.567667
85.195725,100,20905.908229
85.322987,100,21001.729302
77.715545,100,21096.212637
80.453626,100,21186.681942
85.054779,100,21280.7329
82.70894,100,21375.112902
84.737283,100,21467.800719
78.541714,100,21560.928499
22.220892,100,21655.244808
1.203058,100,21743.538908
-2.206442,100,21842.785831
38.949116,100,21944.72335
64.388851,100,22045.498338
59.352181,100,22144.508286
71.148045,100,22242.209447
30.115691,100,22336.743453
11.673493,100,22435.845924
75.676922,100,22533.940208
85.326897,100,22628.844252
54.236364,100,22730.592191
81.461028,100,22830.795909
86.710768,100,22932.934885
77.500391,100,23034.518622
84.261356,100,23134.002892
84.481658,100,23237.640259
86.681345,100,23336.027201
73.873112,100,23434.708842
73.912675,100,23533.803629
82.318272,100,23630.048567
85.834345,100,23728.996195
79.188037,100,23826.864081
79.851475,100,23927.826728
75.64727,100,24027.023846
80.941928,100,24126.482036
-76.49715,100,24221.62854
-101.87207,100,24316.495142
25.370301,100,24421.682281
82.460302,100,24519.986755
82.884546,100,24620.998494
66.106624,100,24722.829128
72.896131,100,24823.247554
84.048564,100,24924.140637
87.674674,100,25024.863501
80.835516,100,25125.288572
56.205555,100,25228.273886
84.415191,100,25326.252242
77.2861,100,25424.919894
78.08928,100,25525.049283
73.288915,100,25624.168242
80.351251,100,25727.561983
89.781977,100,25826.428664
89.827324,100,25930.234728
84.332049,100,26037.669606
84.180743,100,26139.244215
79.309004,100,26240.123568
75.713346,100,26344.113365
84.334079,100,26448.020403
87.073792,100,26555.878364
71.046742,100,26662.193699
83.066591,100,26767.244169
86.744571,100,26867.865662
79.474424,100,26969.707843
76.584235,100,27075.196286
86.865991,100,27182.626487
84.183747,100,27288.172084
91.583587,100,27392.804635
84.035244,100,27497.237994
82.489585,100,27603.959214
77.458836,100,27713.259362
84.936805,100,27824.96561
85.382494,100,27935.201397
82.868045,100,28043.181576
80.40665,100,28148.978034
87.25849,100,28257.334876
77.687688,100,28364.544111
88.135004,100,28472.795547
84.731179,100,28581.532439
87.336586,100,28691.581543
72.516341,100,28801.286478
84.855619,100,28906.578918
70.914335,100,29016.780143
79.831757,100,29124.227624
80.361994,100,29232.580167
87.394012,100,29341.4414
81.767325,100,29451.623047
75.612695,100,29561.341893
79.740429,100,29671.340789
84.23206,100,29781.155072
72.674229,100,29895.953388
87.024824,100,30005.877142
86.098937,100,30114.649755
86.888926,100,30223.982503
82.786474,100,30334.087051
86.154816,100,30447.478619
86.944267,100,30556.644074
82.254594,100,30670.786624
85.796041,100,30781.600061
82.950041,100,30901.442075
69.222083,100,31010.222347
77.822499,100,31121.457708
78.725968,100,31230.853016
88.060278,100,31341.990734
70.760876,100,31452.861832
79.980715,100,31564.362929
74.805599,100,31678.850524
81.764388,100,31791.193568
71.838404,100,31904.546412
88.295842,100,32017.720234
84.62631,100,32131.439244
78.804286,100,32245.019517
78.437431,100,32357.286791
83.143121,100,32469.706756
84.415679,100,32580.942955
76.803771,100,32694.719535
81.013061,100,32805.269403
75.555281,100,32918.923747
86.062167,100,33030.630909
86.658941,100,33145.7165
75.749318,100,33258.410177
79.32175,100,33373.022513
86.897033,100,33487.198275
84.829994,100,33601.344685
79.908996,100,33716.912787
79.683616,100,33831.847796
78.102215,100,33946.373608
77.399949,100,34061.259557
89.157594,100,34176.651831
83.797879,100,34292.303372
