#{"t_start": 1659292634.83694, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-43.194684,100,21.068646
-72.394339,100,45.028775
-21.278274,100,73.708425
-45.106671,100,101.812531
77.914595,100,135.051758
71.553552,100,168.54046
21.329488,100,193.219793
-9.08592,100,226.12002
-25.013771,100,258.885977
-19.224172,100,292.612669
-98.804198,100,327.580711
-121.311105,100,360.577132
72.474199,100,397.032529
75.240975,100,430.141634
4.594745,100,461.674569
9.356048,100,496.848474
65.651922,100,531.539703
84.545667,100,570.69472
75.033111,100,609.767696
79.689359,100,646.545298
-65.058769,100,682.391135
-4.350207,100,713.722781
48.571384,100,745.707692
82.465991,100,778.789541
68.767296,100,812.622625
69.423385,100,848.165597
72.161059,100,885.766309
-113.659718,100,920.985038
63.119507,100,955.267084
16.428594,100,989.119103
-5.67866,100,1025.113791
14.884722,100,1059.434597
82.958822,100,1094.801289
74.881359,100,1129.877138
45.089326,100,1165.791248
65.852758,100,1200.611552
83.093901,100,1237.680677
67.992205,100,1272.539549
83.922622,100,1311.920458
79.874924,100,1349.172024
79.883095,100,1386.123368
85.54773,100,1427.673755
83.335018,100,1467.794369
86.157074,100,1506.61638
79.837302,100,1545.402736
74.567005,100,1587.848349
82.544537,100,1625.345157
67.582477,100,1662.865013
81.069492,100,1699.699829
31.060823,100,1736.709888
37.395712,100,1776.495607
84.035953,100,1815.779504
79.608573,100,1855.823434
82.109549,100,1896.272928
77.116449,100,1935.704094
74.35547,100,1975.534071
85.38348,100,2016.231533
72.142131,100,2058.871531
61.92311,100,2102.943995
74.668524,100,2145.178689
75.450533,100,2185.070454
52.827955,100,2224.895462
70.150078,100,2267.311443
82.413028,100,2309.290553
84.239691,100,2350.567713
86.829297,100,2392.748866
81.305753,100,2435.88156
72.527062,100,2479.753079
81.515272,100,2523.188452
70.719312,100,2567.536662
25.775526,100,2611.947742
42.139124,100,2656.84561
69.17692,100,2703.429732
74.030049,100,2746.927991
79.418384,100,2789.378232
80.183735,100,2834.00163
88.856058,100,2878.836751
83.26194,100,2923.955441
83.194568,100,2969.113861
63.913719,100,3014.038573
83.12429,100,3058.428794
84.158431,100,3102.862006
86.32966,100,3147.326288
73.23025,100,3190.160247
84.207573,100,3237.362671
74.453165,100,3286.1528
70.587956,100,3335.72675
83.682421,100,3385.669415
85.114148,100,3434.44894
83.094777,100,3484.953521
-1.251142,100,3526.370594
86.632583,100,3572.5716
77.579787,100,3619.846931
80.497506,100,3667.549219
87.188192,100,3713.015713
74.266955,100,3762.922199
79.278973,100,3809.422088
88.850508,100,3857.687007
78.253551,100,3903.623151
77.764624,100,3948.343973
81.844228,100,3995.105947
79.884338,100,4044.363107
73.362556,100,4093.800275
68.108242,100,4146.190114
80.650095,100,4195.331713
87.538243,100,4245.45929
81.513673,100,4297.064873
87.114914,100,4347.226463
86.163751,100,4396.348947
80.557372,100,4443.648977
82.636663,100,4492.225117
84.440542,100,4540.205741
81.871998,100,4586.86374
73.568563,100,4636.834617
84.68675,100,4687.377111
88.482531,100,4737.429784
27.482635,100,4789.33851
79.274737,100,4840.883582
-11.409057,100,4887.611128
29.125404,100,4936.703154
68.154045,100,4988.502674
-91.2410885.979773,100,5103.-100.30879.19191,100,5158.271-36.960.610122,100,5211.1941-28.65.727572,100,5265.790373.175.876591,100,5319.357374.80.030247,100,5373.0912075.83.191465,100,5428.83913-20-75.167069,100,5491.0392351.82.591403,100,5551.195861.571.062277,100,5609.103774.675.931147,100,5671.346927.84.34032,100,5733.523345
85.523674,100,5789.533486
74.041538,100,5846.336088
86.058667,100,5901.471049
89.58416,100,5956.719347
68.804469,100,6012.471297
22.200056,100,6068.479127
84.571108,100,6128.783087
85.103698,100,6185.542085
87.653962,100,6242.782129
67.907595,100,6301.195254
84.540082,100,6358.636051
77.978024,100,6415.675691
85.05694,100,6473.412404
85.933975,100,6529.866405
86.898866,100,6588.332709
80.117448,100,6645.890077
59.529878,100,6706.379681
87.452919,100,6764.025036
68.335869,100,6822.200505
76.461244,100,6882.355082
84.465344,100,6940.631316
82.686465,100,7000.864271
86.257962,100,7058.172806
84.397024,100,7116.196568
78.157085,100,7174.018686
-114.885285,100,7232.628959
-29.465514,100,7295.758661
82.649038,100,7358.244451
71.957382,100,7420.348832
68.885476,100,7483.675567
76.638611,100,7547.379376
87.250675,100,7612.796537
87.168561,100,7676.618936
87.433794,100,7740.834534
83.08515,100,7802.149143
71.143654,100,7865.056474
79.713408,100,7926.553539
71.546759,100,7991.548358
83.762938,100,8055.1411
73.047931,100,8117.029015
77.402738,100,8177.554109
77.576249,100,8241.332089
76.741209,100,8303.861001
84.696946,100,8371.317329
83.641366,100,8440.05067
