#{"t_start": 1659292634.6891842, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-39.412553,100,21.214321
-40.747528,100,45.123115
-121.93781,100,73.784442
-21.563717,100,101.99451
65.889361,100,135.227414
68.681756,100,168.729105
-5.003066,100,193.324508
79.297388,100,226.32106
-20.122479,100,259.003858
10.789166,100,292.811154
-34.945934,100,327.723978
32.66149,100,360.823953
54.287804,100,397.253079
53.468968,100,430.34686
68.719756,100,461.866453
74.370334,100,497.045861
10.248179,100,531.658076
67.982278,100,570.87252
74.261359,100,609.908005
76.908607,100,646.600876
-3.21739,100,682.542907
-18.119763,100,713.921199
40.676837,100,745.877054
65.949112,100,778.942179
76.675849,100,812.7407
84.596399,100,848.348721
70.666843,100,885.927865
13.828625,100,921.180461
86.794534,100,955.406169
3.76884,100,989.195988
7.687983,100,1025.329962
86.718757,100,1059.487875
76.441451,100,1094.932461
87.455973,100,1129.996046
3.743226,100,1165.841535
5.861587,100,1200.701014
78.050488,100,1237.82022
82.139918,100,1272.683512
78.709164,100,1312.01635
84.230594,100,1349.311323
71.774856,100,1386.283993
81.239522,100,1427.816549
83.877814,100,1467.953541
76.656002,100,1506.749818
73.379281,100,1545.560597
74.460463,100,1588.034276
61.773548,100,1625.450349
80.834762,100,1663.12675
82.119916,100,1699.888564
78.492552,100,1736.856201
40.338903,100,1776.705817
87.342572,100,1815.936416
80.53089,100,1856.077492
77.881652,100,1896.410244
87.66754,100,1935.859884
87.592238,100,1975.658455
78.439632,100,2016.392198
27.815098,100,2058.999139
74.000582,100,2103.121686
76.137825,100,2145.295172
55.970244,100,2185.204238
68.332236,100,2225.114884
-47.229583,100,2267.321187
77.065368,100,2309.461912
71.198501,100,2350.710853
-65.180689,100,2392.852165
83.174114,100,2436.049643
84.11126,100,2480.000632
71.333072,100,2523.295027
82.939715,100,2567.680183
26.841274,100,2612.047648
72.45748,100,2657.111632
81.57402,100,2703.580117
76.967958,100,2747.036978
79.443254,100,2789.52595
85.448264,100,2834.2015
71.983485,100,2879.04317
83.67038,100,2924.066381
86.847427,100,2969.221982
78.127568,100,3014.198162
80.547384,100,3058.508421
73.723604,100,3102.966613
70.276522,100,3147.463076
80.949253,100,3190.292191
80.482648,100,3237.511765
84.060443,100,3286.36436
78.679419,100,3335.932851
81.014672,100,3385.699154
81.55039,100,3434.591531
69.54527,100,3485.106094
-42.139867,100,3526.606285
69.273455,100,3572.700315
69.712951,100,3620.037564
80.619693,100,3667.724292
82.318337,100,3713.210884
77.993006,100,3762.99964
84.401672,100,3809.575626
75.787204,100,3857.870453
82.711369,100,3903.817857
84.134111,100,3948.490859
86.507255,100,3995.283017
77.358535,100,4044.414555
78.460261,100,4093.795837
73.984852,100,4146.377182
72.472088,100,4195.49392
-68.58309,100,4245.493734
83.361733,100,4297.244425
74.059755,100,4347.349113
70.653202,100,4396.480807
83.688647,100,4443.804125
71.92058,100,4492.402448
74.806114,100,4540.336888
84.219287,100,4587.004364
85.229806,100,4636.940156
85.329874,100,4687.54534
57.227857,100,4737.625411
-44.386427,100,4789.223711
81.537442,100,4840.971211
-11.60916,100,4887.773759
-8.214037,100,4936.890717
-18.272603,100,4988.427009
-82.492407,1087.386407,100,5-5.503579,1086.069892,100,5-31.595128,164.755958,100,52-14.495905,84.062185,100,52676.449249,72.844711,100,53165.398666,86.604968,100,537-48.00907486.024103,100,5428-21.4403077.108105,100,5491.70.3458765.471413,100,5551.67.7587487.392046,100,5609.75.4063177.8238,100,5671.5454.47980.60673,100,5733.534064
85.598974,100,5789.599854
83.863224,100,5846.409358
86.792125,100,5901.528704
80.279267,100,5956.813025
86.517744,100,6012.569385
80.793106,100,6068.559305
-19.132179,100,6128.781858
84.782921,100,6185.617258483.188617,100,6242.839964
79.85628,100,6301.279598
65.765791,100,6358.671156
84.694623,100,6415.748617
75.099894,100,6473.440744
86.381225,100,6530.023369
79.564547,100,6588.481702
76.929897,100,6646.069827
87.409803,100,6706.465324
74.659682,100,6764.190353
79.539725,100,6822.232201
81.051297,100,6882.427223
68.504565,100,6940.650556
85.923168,100,7000.895769
85.054522,100,7058.252525
78.153706,100,7116.282509
83.380382,100,7174.092777
-96.670616,100,7232.691398
-21.684035,100,7295.849742
75.436139,100,7358.296598
68.239065,100,7420.411554
77.451988,100,7483.775534
78.044406,100,7547.523394
88.591614,100,7612.938164
80.081773,100,7676.754655
89.470043,100,7740.895401
84.444544,100,7802.18297
64.56389,100,7865.09654
67.948247,100,7926.619524
73.61249,100,7991.588743
68.932252,100,8055.279119
84.236444,100,8117.091954
69.186866,100,8177.629133
69.372319,100,8241.392993
83.713226,100,8303.99977
88.771877,100,8371.473189
70.801376,100,8440.203772
83.82222,100,8508.827555
76.147391,100,8575.703194
87.872797,100,8643.413193
80.745554,100,8708.037184
74.148514,100,8774.601544
84.905669,100,8843.030938
87.520394,100,8906.767388
72.992852,100,8971.962305
86.627384,100,9038.31302
74.608521,100,9104.742155
74.286288,100,9172.515322
84.327489,100,9240.364518
78.568128,100,9310.326206
80.922415,100,9379.570367
76.623075,100,9449.283267
83.196568,100,9518.875172
83.821239,100,9587.558384
75.268533,100,9658.663516
78.188258,100,9729.900839
83.533467,100,9800.868291
65.532228,100,9872.199297
83.734164,100,9942.164079
84.797068,100,10012.589499
70.688404,100,10080.818571
80.429001,100,10153.792834
85.148059,100,10227.746735
76.207537,100,10298.960817
81.87881,100,10376.259149
83.33753,100,10450.044677
-13.306974,100,10521.928866
83.496697,100,10594.571171
87.496175,100,10666.845969
80.283783,100,10737.702069
81.174543,100,10808.144495
80.226146,100,10878.017339
86.812976,100,10947.280519
79.625963,100,11017.24414
80.813556,100,11085.340292
83.41528,100,11154.906178
88.014908,100,11223.748026
74.676804,100,11293.600209
69.586841,100,11364.34169
78.447341,100,11435.546939
83.84655,100,11506.705938
81.337265,100,11577.705454
55.524072,100,11652.9257
82.522712,100,11724.998813
83.635276,100,11796.146153
75.778424,100,11868.215367
84.198097,100,11937.746831
18.43444,100,12009.078341
80.764459,100,12079.933453
72.974384,100,12152.595637
79.302276,100,12225.184695
80.572727,100,12297.033938
78.742844,100,12368.027149
89.611888,100,12438.985493
80.125193,100,12508.624976
84.680538,100,12580.01869
85.145392,100,12651.540676
