#{"t_start": 1659292634.9276304, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-147.429735,100,20.959419
-47.545805,100,44.910674
-9.023328,100,73.563494
-67.330155,100,101.671264
53.454096,100,134.976552
64.075034,100,168.469921
-58.313716,100,193.143075
63.832961,100,226.045475
-34.417411,100,258.764334
-71.908215,100,292.515585
82.915463,100,327.591075
-32.946279,100,360.668245
55.551454,100,396.991546
76.671036,100,429.970734
76.962723,100,461.635742
-5.181706,100,496.824404
80.403137,100,531.444073
69.876751,100,570.756037
35.009341,100,609.66881
75.259657,100,646.44336
0.35149,100,682.29816
35.405276,100,713.655738
61.694501,100,745.642222
67.658866,100,778.73207
68.701505,100,812.517225
82.607546,100,848.086709
73.108037,100,885.660478
50.575048,100,921.012682
19.924201,100,955.199408
14.168423,100,989.039358
25.338246,100,1025.02009
67.070356,100,1059.202612
-0.576819,100,1094.659489
56.717205,100,1129.707234
-9.016581,100,1165.588402
40.666624,100,1200.518447
51.47596,100,1237.554133
84.869975,100,1272.394338
70.320523,100,1311.838031
79.09072,100,1349.035645
-22.211781,100,1385.885016
72.541537,100,1427.576386
76.264699,100,1467.731624
82.58074,100,1506.527721
84.000204,100,1545.302216
76.699897,100,1587.791477
68.067273,100,1625.175556
79.308,100,1662.882185
73.585576,100,1699.619357
13.009578,100,1736.620548
70.577888,100,1776.448277
81.405501,100,1815.69229
80.574121,100,1855.781831
68.63166,100,1896.18605
80.241942,100,1935.632198
79.622023,100,1975.397106
83.552784,100,2016.160284
81.140896,100,2058.796711
80.107647,100,2102.89693
45.445478,100,2144.887176
65.493889,100,2184.972491
62.769639,100,2224.886569
48.160975,100,2267.169834
83.874025,100,2309.211532
-96.709114,100,2350.425428
-35.378688,100,2392.624167
75.236174,100,2435.825938
77.897707,100,2479.727542
83.977178,100,2523.086397
64.741363,100,2567.519858
84.786006,100,2611.813445
71.213711,100,2656.80656
83.166379,100,2703.306709
81.214582,100,2746.841846
81.098564,100,2789.334257
83.21028,100,2833.958661
71.760235,100,2878.751954
84.552792,100,2923.843521
84.690052,100,2969.023994
80.302088,100,3013.916881
82.928699,100,3058.236001
80.219609,100,3102.771815
81.481574,100,3147.268161
83.861718,100,3190.071511
83.55859,100,3237.239106
76.501388,100,3286.12633
74.957195,100,3335.672334
85.184626,100,3385.555581
84.331052,100,3434.292747
59.579924,100,3484.970935
7.764905,100,3526.280924
86.660414,100,3572.491258
71.600191,100,3619.755114
73.162503,100,3667.445523
74.46263,100,3712.942199
68.946306,100,3762.760989
82.127022,100,3809.37585
77.321066,100,3857.-0.7640277.229313,100,3903.74.4302580.168151,100,3948.70.1135878.806602,100,3995.47.6143776.02477,100,4044.180.35466.113954,100,4093.5484.475.123985,100,4146.23283.672.834727,100,4195.237285.484.978165,100,4245.36682.5479.793473,100,4296.9-53.11582.621208,100,4347.16-13.481.612049,100,4396.261986.187.227664,100,4443.547879.83.087266,100,4492.1561984.80.942237,100,4540.116784.576.131318,100,4586.75581.0380.695932,100,4636.70787.3377.737677,100,4687.28786.9373.742721,100,4737.37984.4247.098539,100,4789.26283.13-46.84137,100,4840.73683.03-9.644151,100,4887.47067.5-1.760572,100,4936.349174.3-76.43645,100,4988.171378.037528,100,5103.639384
88.124508,100,5158.342851
82.833744,100,5211.228835
61.605264,100,5265.887543
83.92048,100,5319.418451
83.929843,100,5373.239953
87.299564,100,5428.951866
80.463749,100,5491.211918
82.71642,100,5551.227241
88.685341,100,5609.094839
77.630887,100,5671.428512
83.41355,100,5733.508997
86.440738,100,5789.576416
78.035677,100,5846.385173
81.710575,100,5901.520454
79.284757,100,5956.781581
85.450394,100,6012.533368
84.816966,100,6068.534534
78.011814,100,6128.807768
80.736433,100,6185.53031
85.234337,100,6242.819846
74.75624,100,6301.26377
70.944543,100,6358.620755
79.144492,100,6415.71601
71.130569,100,6473.399627
77.186709,100,6529.904772
88.206196,100,6588.417863
74.508646,100,6645.990736
80.8976,100,6706.523751
72.60929,100,6764.086996
73.133678,100,6822.262213
76.559096,100,6882.349443
82.551244,100,6940.601948
81.03126,100,7000.898986
77.930481,100,7058.210897
86.741597,100,7116.276658
73.552577,100,7174.060952
78.833975,100,7232.611813
77.028973,100,7295.799731
85.360664,100,7358.254345
83.566057,100,7420.383836
80.260127,100,7483.713802
75.76804,100,7547.471418
78.443026,100,7612.93305
70.470547,100,7676.689671
74.108402,100,7740.883481
86.561533,100,7802.170552
84.79331,100,7865.010088
54.538255,100,7926.647464
79.936451,100,7991.522581
79.868099,100,8055.392524
79.145126,100,8117.081826
87.134066,100,8177.584096
80.804939,100,8241.369582
86.586417,100,8303.925451
75.885198,100,8371.271985
73.072935,100,8440.109201
86.603636,100,8508.792301
86.995995,100,8575.602028
83.417641,100,8643.365185
84.422268,100,8708.019104
84.353944,100,8774.531244
78.578668,100,8843.003854
83.698051,100,8906.733917
68.688958,100,8971.890437
78.407576,100,9038.272651
81.073246,100,9104.773165
86.461839,100,9172.50922
82.00783,100,9240.364185
69.411857,100,9310.294936
72.370523,100,9379.464032
84.384327,100,9449.256142
89.298223,100,9518.841286
80.203601,100,9587.5256
75.583918,100,9658.623792
75.303251,100,9729.870884
86.229007,100,9800.718483
73.621828,100,9872.237144
77.599355,100,9942.100435
80.931461,100,10012.509386
86.022668,100,10081.202619
86.398861,100,10153.697008
75.870418,100,10227.968259
86.475081,100,10298.93358
80.848591,100,10376.319873
76.554191,100,10449.982432
84.080822,100,10521.93827
84.640482,100,10594.484607
80.605651,100,10666.782119
82.897267,100,10737.634161
77.294379,100,10808.09689
78.106144,100,10877.996311
84.599214,100,10947.176521
28.964267,100,11017.232879
84.188406,100,11085.294303
83.734737,100,11154.907215
85.995896,100,11223.79191
87.230336,100,11293.543624
82.301272,100,11364.280742
83.909322,100,11435.308306
83.041166,100,11506.673129
74.507374,100,11577.677963
83.441224,100,11652.500958
57.891716,100,11724.973518
88.534279,100,11796.13517
84.661367,100,11868.178759
82.036567,100,11937.702893
78.647083,100,12008.955179
81.146323,100,12079.91505
86.447519,100,12152.598503
69.389387,100,12225.205848
85.652031,100,12297.033151
87.173396,100,12368.034178
83.464392,100,12438.957326
77.807966,100,12508.593468
75.401981,100,12579.685276
74.225274,100,12651.476626
78.910146,100,12723.819388
79.410318,100,12796.856982
84.060603,100,12872.218623
80.536435,100,12947.226643
84.364196,100,13023.004442
72.106471,100,13100.362977
81.995472,100,13176.329915
86.692582,100,13252.358072
73.139078,100,13329.306765
80.39241,100,13405.345848
84.260233,100,13483.369466
82.705099,100,13559.881581
84.047675,100,13634.384191
83.062379,100,13711.416726
76.494653,100,13786.06306
81.805371,100,13862.098131
86.202658,100,13938.374433
71.506393,100,14014.748144
88.164419,100,14094.586197
86.614262,100,14175.496696
78.316945,100,14254.554189
74.67987,100,14334.414004
74.753706,100,14415.428154
78.406615,100,14496.521648
81.932356,100,14576.631257
87.960627,100,14655.121004
76.217332,100,14732.103731
87.143799,100,14809.800283
81.980246,100,14887.449585
86.95868,100,14966.052702
74.987553,100,15044.289067
83.319167,100,15127.64721
88.162895,100,15210.760607
83.729349,100,15292.956317
77.950289,100,15373.695213
85.625374,100,15457.859016
84.098323,100,15539.343854
-5.607124,100,15620.026134
83.784745,100,15701.251924
-19.714318,100,15787.591024
