#{"t_start": 1659292634.8685653, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-6.677205,100,21.017711
-58.33323,100,45.00072
-62.542438,100,73.680979
80.81574,100,101.813662
-3.709674,100,135.031147
19.255447,100,168.514653
-5.948113,100,193.149644
-2.214538,100,226.13905
-113.484501,100,258.824106
68.742537,100,292.668494
74.313161,100,327.640108
-4.418176,100,360.665578
55.761641,100,397.058457
49.950349,100,430.077811
50.690825,100,461.665399
-5.292293,100,496.906777
40.770463,100,531.486182
5.568624,100,570.599698
70.064336,100,609.795469
40.011043,100,646.384068
66.607484,100,682.372454
29.799603,100,713.69785
47.033989,100,745.635788
84.157092,100,778.80136
8.880473,100,812.530195
67.845482,100,848.132711
79.412273,100,885.742768
70.897967,100,920.981439
19.718087,100,955.244666
17.892201,100,988.994753
71.645882,100,1025.089921
13.156244,100,1059.322348
81.911296,100,1094.764418
74.591719,100,1129.81753
57.231605,100,1165.739299
72.397601,100,1200.59952
87.295097,100,1237.627705
88.513317,100,1272.49027
73.12554,100,1311.903751
81.217729,100,1349.152921
74.547652,100,1386.093858
79.484489,100,1427.709138
51.477373,100,1467.75017
74.88046,100,1506.690174
78.191283,100,1545.342027
87.56349,100,1587.836478
59.168127,100,1625.195574
65.65782,100,1662.898093
79.051958,100,1699.692964
81.242678,100,1736.672598
-37.628064,100,1776.411005
79.07796,100,1815.830748
81.013348,100,1855.829544
69.789251,100,1896.235932
78.374384,100,1935.670098
79.89893,100,1975.471981
72.781031,100,2016.274698
82.915316,100,2058.859327
57.489801,100,2102.847114
39.16247,100,2145.118722
58.609204,100,2185.055035
56.558873,100,2224.93984
-26.812698,100,2267.16188
80.555069,100,2309.290846
76.202242,100,2350.53585
65.315133,100,2392.70584
69.912961,100,2435.840888
78.085055,100,2479.726567
81.108134,100,2523.142521
71.346305,100,2567.524764
24.805091,100,2611.855916
76.993249,100,2656.951308
82.242068,100,2703.377398
66.03751,100,2746.856937
79.945295,100,2789.357492
84.133542,100,2834.012995
71.878529,100,2878.817794
76.979063,100,2923.910004
81.11397,100,2969.126937
69.530727,100,3013.963657
82.451842,100,3058.356354
79.255474,100,3102.782749
82.994124,100,3147.269684
79.174704,100,3190.128321
82.151246,100,3237.340096
79.218811,100,3286.186244
73.672962,100,3335.754728
73.68917,100,3385.55709
87.431148,100,3434.406101
78.983764,100,3484.927576
-26.090353,100,3526.333788
77.050015,100,3572.510208
75.126437,100,3619.81502
85.510512,100,3667.504395
75.710985,100,3713.018721
85.027612,100,3762.812613
67.847825,100,3809.401206
82.11024,100,3857.737234
73.350603,100,3903.578516
82.340141,100,3948.336221
78.224568,100,3995.065373
85.173734,100,4044.287124
88.448899,100,4093.60874
75.492406,100,4146.216886
-85.493523,100,4195.237879
77.062415,100,4245.375594
74.314206,100,4297.073391
80.258742,100,4347.200063
82.89911,100,4396.314984
79.160638,100,4443.620106
80.706416,100,4492.204679
81.899888,100,4540.145804
84.003202,100,4586.835546
86.575291,100,4636.766596
87.707322,100,4687.365435
42.391349,100,4737.49874
51.845664,100,4789.293989
-55.966125,100,4840.674316
-44.357641,100,4887.611689
26.03555,100,4936.682329
22.200677,100,4988.233661
-34.237716,100,502179.945835-57.06739,100,506775.051203-32.70046,100,51178.072999,-47.61618,100,5172.529224,164.249288,100,5281.089756,-128.809472,100,575.194971,1-32.627004,100,585.861834,10-13.853424,100,76.5595,100,558.788785,1071.113469,100,532.257877,10-11.643535,100,74.308003,10087.614006,100,-67.324341,1087.309906,100,5733.468814
87.292474,100,5789.579996
81.305887,100,5846.382185
40.329522,100,5901.453661
-18.42013,100,5956.850613
88.370392,100,6012.560602
69.787944,100,60668.02247167.302904,100,6128.791372
-37.217367,100,6145.775983,81.41626,100,6242.745735
76.671581,100,6301.263183
86.025052,100,6358.572639
82.343816,100,6415.671877
83.667882,100,6473.348194
87.348686,100,6529.916499
83.751882,100,6588.405804
79.190257,100,6645.923043
74.86225,100,6706.37626
82.958258,100,6764.118154
70.877916,100,6822.235711
82.071742,100,6882.378996
87.00389,100,6940.580158
79.885313,100,7000.799529
84.826746,100,7058.144066
79.748774,100,7116.249551
82.645849,100,7174.05704
42.225779,100,7232.585648
-18.142187,100,7295.811039
-10.009802,100,7358.272838
71.238904,100,7420.3069
71.575735,100,7483.670225
80.92898,100,7547.404179
74.550102,100,7612.848448
82.718342,100,7676.651127
83.35739,100,7740.874114
84.083113,100,7802.121764
71.071904,100,7864.981093
80.89956,100,7926.532966
72.819197,100,7991.522061
83.156603,100,8055.270668
71.396538,100,8117.060682
81.205141,100,8177.598727
68.414356,100,8241.333651
85.595617,100,8303.9286
77.127735,100,8371.297429
86.201739,100,8440.146064
71.804936,100,8508.695484
81.383135,100,8575.585976
82.816344,100,8643.296663
84.074737,100,8707.981658
71.806401,100,8774.527317
76.322637,100,8842.935049
75.166827,100,8906.710497
85.989313,100,8971.884871
79.963472,100,9038.260983
76.144867,100,9104.744851
75.000823,100,9172.383541
82.292597,100,9240.300119
76.763463,100,9310.252877
85.935036,100,9379.509828
86.347736,100,9449.214018
85.419641,100,9518.794774
86.886348,100,9587.503424
82.771276,100,9658.625389
77.381914,100,9729.895607
80.566171,100,9800.74482
76.666634,100,9872.122709
86.488396,100,9942.14188
71.344965,100,10012.530886
75.465771,100,10081.224292
62.058958,100,10153.61801
73.624762,100,10227.769401
71.891748,100,10298.93038
84.180616,100,10376.24547
74.71649,100,10449.978852
86.28611,100,10521.847799
84.124249,100,10594.519922
70.189994,100,10666.756943
82.349942,100,10737.656657
87.484313,100,10808.083544
72.862056,100,10877.963964
86.128,100,10947.160817
83.595454,100,11017.212023
86.969007,100,11085.264992
73.92863,100,11154.848928
68.889597,100,11223.708448
86.192013,100,11293.614058
74.349008,100,11364.205822
80.659608,100,11435.531807
87.064814,100,11506.628826
72.768934,100,11577.598087
55.205041,100,11652.861593
56.866055,100,11724.947645
82.135458,100,11796.132934
81.259755,100,11868.153072
86.274767,100,11937.65238
87.649688,100,12008.935958
81.973231,100,12079.84814
77.871004,100,12152.620546
82.131749,100,12225.118236
84.344612,100,12297.018534
87.065971,100,12367.99153
84.091061,100,12438.94219
73.168034,100,12508.554901
87.997775,100,12579.728672
80.723584,100,12651.497283
87.834567,100,12723.797879
84.979258,100,12796.799858
74.583536,100,12872.146735
80.303874,100,12947.190161
77.008225,100,13022.92832
75.975175,100,13099.842699
79.236389,100,13176.33267
72.211763,100,13252.334317
22.354689,100,13329.277999
87.969405,100,13405.299409
84.861527,100,13483.261187
87.254918,100,13559.814981
77.874335,100,13634.341646
71.989296,100,13711.36956
77.420178,100,13786.040766
78.474335,100,13862.04649
82.346004,100,13938.313912
76.825898,100,14014.79518
74.417267,100,14094.498418
82.353103,100,14175.3758
84.503955,100,14254.483721
79.445302,100,14334.361958
80.847891,100,14415.375075
81.956677,100,14496.448996
83.037783,100,14576.575764
80.449746,100,14655.131299
82.677451,100,14732.120048
88.381582,100,14809.816872
39.137977,100,14887.441711
62.653768,100,14965.99994
81.113322,100,15044.300343
83.569845,100,15127.674933
83.568285,100,15210.745834
83.722714,100,15292.916245
78.220433,100,15373.727681
78.682055,100,15457.878449
63.336548,100,15539.299278
16.583158,100,15619.96006
7.707065,100,15701.202512
-16.774857,100,15787.512837
74.83752,100,15869.98713
80.631861,100,15953.186536
72.518015,100,16033.514489
73.99724,100,16117.054237
73.392783,100,16197.917176
74.646745,100,16283.611527
84.346549,100,16371.468902
74.604698,100,16458.00998
70.777855,100,16543.24388
81.075384,100,16626.372033
73.808886,100,16709.829489
85.539313,100,16794.754884
84.19757,100,16878.406366
78.964116,100,16961.317516
83.444988,100,17045.944394
84.684186,100,17132.382545
81.209518,100,17217.346401
72.22702,100,17301.724903
83.339917,100,17387.119383
70.656873,100,17469.662295
88.760798,100,17554.757867
80.519186,100,17637.698557
82.266686,100,17723.114512
82.761707,100,17807.718916
72.059088,100,17892.427487
77.018137,100,17977.6124
82.67104,100,18062.430624
81.672774,100,18151.605834
77.618479,100,18239.644136
85.418477,100,18324.05217
84.7005,100,18408.09335
82.615072,100,18495.57252
76.329036,100,18582.716025
85.235055,100,18669.64716
84.576955,100,18758.304863
87.525786,100,18845.822196
70.99651,100,18931.239245
83.804998,100,19018.925357
77.487838,100,19105.419568
88.999579,100,19192.493213
70.082364,100,19279.187798
78.713772,100,19367.783623
73.934858,100,19456.064025
82.371202,100,19544.010668
78.856845,100,19633.361775
70.666137,100,19722.15671
82.407235,100,19811.971369
87.092965,100,19902.048738
77.275777,100,19993.116936
80.736774,100,20084.150351
86.460782,100,20175.754486
86.375802,100,20266.400533
74.734978,100,20357.135688
76.67995,100,20449.327012
85.922908,100,20539.774575
77.997412,100,20631.997142
84.848619,100,20720.392831
84.308134,100,20811.548431
71.535283,100,20905.924188
83.756342,100,21001.686549
81.617141,100,21096.220694
83.569524,100,21186.672571
81.559563,100,21280.757605
73.810445,100,21375.151132
74.235955,100,21467.845943
84.546157,100,21560.870428
35.620044,100,21655.112934
-37.32076,100,21743.461173
-5.903141,100,21842.737936
57.904998,100,21944.685314
63.19685,100,22045.487744
72.295962,100,22144.457178
67.558641,100,22242.180744
9.206502,100,22336.807241
13.127714,100,22435.799157
75.943445,100,22533.864951
84.816968,100,22628.782291
64.473815,100,22730.553111
73.541969,100,22830.793884
14.05848,100,22932.768677
87.509691,100,23034.55268
87.076674,100,23133.948952
78.72197,100,23237.606709
69.2925,100,23335.995827
81.129964,100,23434.805198
73.311142,100,23533.745411
79.343601,100,23630.018333
78.319643,100,23729.037383
89.515577,100,23826.830439
84.74863,100,23927.827918
70.649384,100,24026.964828
81.763061,100,24126.439679
-4.96034,100,24220.982852
-36.628797,100,24316.72204
63.480976,100,24421.67782
83.05166,100,24519.943191
72.156181,100,24620.96809
82.31797,100,24722.76793
73.422535,100,24823.277932
79.583494,100,24924.149233
81.937278,100,25024.931222
72.284791,100,25125.262514
84.417506,100,25228.239343
80.161263,100,25326.159039
70.628348,100,25424.898107
86.959316,100,25525.026692
81.653935,100,25624.120144
84.255249,100,25727.600227
81.943248,100,25826.40979
78.8091,100,25930.220743
79.329712,100,26037.588267
87.831033,100,26139.245357
86.811574,100,26240.020897
76.055833,100,26344.15167
84.229363,100,26448.036118
85.6092,100,26555.818071
87.501129,100,26661.928367
88.387672,100,26767.215148
81.790405,100,26867.582551
85.588646,100,26969.732182
84.117056,100,27075.171161
87.278826,100,27182.606333
84.498468,100,27288.228493
83.815247,100,27392.844153
75.837493,100,27497.176559
84.171497,100,27603.890136
81.754659,100,27713.247199
87.627545,100,27824.927306
78.204458,100,27935.649041
76.740906,100,28043.129191
80.765781,100,28149.024611
79.883622,100,28257.232296
76.081428,100,28364.529304
82.333596,100,28472.730456
82.153999,100,28581.533834
83.29957,100,28691.648519
88.339043,100,28801.220731
74.078457,100,28906.61663
77.960871,100,29016.748976
87.662362,100,29124.241943
84.330738,100,29232.573391
82.126109,100,29341.371225
71.350575,100,29451.652026
88.709429,100,29561.312143
84.076812,100,29671.241833
76.816982,100,29781.049887
86.416924,100,29895.985147
80.125907,100,30005.84198
84.924813,100,30114.686463
78.614203,100,30223.941587
73.246654,100,30334.053401
83.896362,100,30447.444881
81.004966,100,30556.673467
73.106379,100,30670.824299
84.439791,100,30781.55991
75.65055,100,30901.269652
84.933718,100,31010.109233
70.826344,100,31121.375029
72.60232,100,31230.812219
83.375703,100,31341.847195
72.16959,100,31452.84345
84.499934,100,31564.335525
87.84423,100,31678.831125
76.445796,100,31791.103206
83.383814,100,31904.515654
82.884333,100,32017.734546
89.069737,100,32131.406225
80.877305,100,32244.950634
75.952089,100,32357.245561
77.607711,100,32469.637892
76.612979,100,32581.054659
84.390673,100,32694.656373
83.529203,100,32805.21314
85.999982,100,32918.902889
76.36493,100,33030.651415
75.427145,100,33145.726651
84.739659,100,33258.41497
79.753265,100,33372.975362
89.823667,100,33487.139964
86.364292,100,33601.295373
84.583787,100,33716.90134
88.950967,100,33831.821672
80.623964,100,33946.345003
88.092775,100,34061.241102
73.19433,100,34176.568744
84.567255,100,34292.270026
74.442622,100,34405.51229
83.517755,100,34518.880238
75.154454,100,34632.825994
87.194119,100,34746.981256
81.012432,100,34862.311816
85.061954,100,34977.040711
77.685732,100,35092.943001
76.31744,100,35209.960346
79.597904,100,35325.933849
71.118687,100,35442.03639
83.003277,100,35557.88752
82.856679,100,35673.076182
78.425442,100,35790.485446
82.139316,100,35906.900578
70.812376,100,36024.759704
74.859943,100,36143.912084
87.684363,100,36262.581126
84.612945,100,36380.21028
74.787526,100,36497.41159
80.116957,100,36613.275865
86.58122,100,36729.485405
88.915839,100,36850.063952
87.694574,100,36969.576948
89.014766,100,37090.42056
83.081782,100,37208.109724
77.012087,100,37326.865122
82.976614,100,37445.08066
76.825155,100,37563.461569
68.608561,100,37685.651338
79.649396,100,37807.412908
83.023697,100,37927.899552
84.296279,100,38048.349364
79.464948,100,38169.190242
83.808117,100,38290.991719
74.887259,100,38411.171599
79.452618,100,38531.090577
81.117054,100,38655.034944
87.140023,100,38774.439701
71.288287,100,38898.309604
