#{"t_start": 1659292634.8480103, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
79.923324,100,9518.915609
74.888573,100,9587.558932
87.45726,100,9658.65596
73.623117,100,9729.944078
86.864026,100,9800.691131
85.535161,100,9872.164302
86.524633,100,9942.136797
77.840228,100,10012.510667
87.779075,100,10081.221369
76.840301,100,10153.609969
79.075152,100,10227.688678
73.240141,100,10298.895707
79.131232,100,10376.288742
79.340701,100,10449.996929
82.752391,100,10521.80149
73.652105,100,10594.506007
81.99941,100,10666.767867
85.887886,100,10737.612063
75.002739,100,10808.080353
84.419738,100,10877.923139
75.423791,100,10947.116146
86.334148,100,11017.223624
78.346164,100,11085.241806
86.045868,100,11154.87082
83.960849,100,11223.768681
79.365021,100,11293.556554
83.967691,100,11364.293338
81.959183,100,11435.551231
69.296339,100,11506.620528
78.195222,100,11577.700072
69.901483,100,11652.83573
86.399304,100,11724.903594
84.165903,100,11796.131133
82.958637,100,11868.183193
81.832416,100,11937.650004
83.155188,100,12008.935611
73.823684,100,12079.899229
70.072434,100,12152.560478
79.226779,100,12225.135967
84.051417,100,12297.029617
79.834616,100,12367.972867
84.099092,100,12438.924115
64.155151,100,12508.554377
72.551751,100,12579.699146
84.247496,100,12651.448965
86.883585,100,12723.856202
80.785601,100,12796.814217
80.352256,100,12872.219238
84.553375,100,12947.181745
70.306131,100,13022.84517
86.920492,100,13100.340847
74.591604,100,13176.336974
81.638321,100,13252.303175
85.731094,100,13329.332684
85.833635,100,13405.366897
79.216415,100,13483.304965
77.380677,100,13559.813104
86.657345,100,13634.3721
89.916589,100,13711.371129
84.357058,100,13786.122342
80.247224,100,13862.083425
84.481595,100,13938.36432
84.242579,100,14014.756299
81.500301,100,14094.474961
87.403213,100,14175.365544
86.509391,100,14254.49652
83.366225,100,14334.393654
79.550869,100,14415.39443
88.543808,100,14496.452956
86.795702,100,14576.5992
71.808514,100,14655.146131
87.918687,100,14732.137154
82.070421,100,14809.795542
76.009611,100,14887.481172
84.140739,100,14965.992204
84.976513,100,15044.311084
83.506899,100,15127.58683
55.96764,100,15210.716058
86.07186,100,15292.899732
78.004524,100,15373.68249
80.602237,100,15457.932691
54.859397,100,15539.327679
26.67094,100,15619.980895
24.759793,100,15701.271833
59.606001,100,15787.624611
55.734139,100,15870.07872
85.761494,100,15953.244667
82.451665,100,16033.481759
73.840936,100,16117.108165
84.583736,100,16197.915797
69.033391,100,16283.640841
70.093802,100,16371.52298
79.171836,100,16457.982887
84.253101,100,16543.14042
86.288612,100,16626.394369
89.942292,100,16709.821988
80.48309,100,16794.809434
78.430309,100,16878.457458
80.294359,100,16961.343527
85.049746,100,17045.986969
73.300988,100,17132.396097
84.709341,100,17217.393818
78.150343,100,17301.76846
77.324974,100,17387.13607
88.50468,100,17469.643494
77.49829,100,17554.75901
83.88258,100,17637.672578
80.395218,100,17723.074082
75.207886,100,17807.754542
78.445318,100,17892.399393
77.452657,100,17977.681603
86.519602,100,18062.391725
85.10539,100,18151.494178
79.937552,100,18239.645022
86.909778,100,18324.002457
72.298745,100,18408.087889
87.895132,100,18495.585647
90.074467,100,18582.726589
83.544345,100,18669.615448
79.765049,100,18758.274937
79.42347,100,18845.794312
81.615914,100,18931.299398
84.423469,100,19018.918409
71.907111,100,19105.443757
89.491724,100,19192.49131
87.236907,100,19279.142807
85.295536,100,19367.751343
84.520376,100,19456.063498
84.68771,100,19544.018299
86.203049,100,19633.286975
83.800949,100,19722.128756
76.07901,100,19811.979757
82.236091,100,19902.081435
71.942969,100,19993.144591
85.713255,100,20084.130892
71.774927,100,20175.751835
77.569613,100,20266.418718
86.271276,100,20357.100321
80.476577,100,20449.345105
81.016712,100,20539.757498
84.294447,100,20631.958261
84.569856,100,20720.419063
89.466944,100,20811.552948
87.973792,100,20905.843068
76.792014,100,21001.714771
86.72505,100,21096.197274
82.159981,100,21186.649928
72.073028,100,21280.735132
77.45474,100,21375.095269
80.205608,100,21467.808563
59.350801,100,21560.887969
84.015554,100,21655.133324
80.223259,100,21743.509228
-54.201039,100,21843.356994
51.431024,100,21944.647044
69.863815,100,22045.554038
74.29294,100,22144.430956
