#{"t_start": 1659292634.9554524, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-13.221599,100,20.96551
-1.471216,100,44.984235
-30.19381,100,73.665524
42.854208,100,101.680268
57.739433,100,135.002227
69.989582,100,168.50828
-54.987458,100,193.204488
82.61073,100,226.103694
67.317901,100,258.851693
85.727973,100,292.591191
-40.216936,100,327.520809
14.256022,100,360.578473
33.067628,100,396.856009
75.581471,100,430.083586
72.194733,100,461.636711
72.692935,100,496.76618
-9.530861,100,531.263968
7.292774,100,570.477702
73.271093,100,609.677983
-123.812986,100,646.350832
-2.838979,100,682.277556
-59.304368,100,713.634454
40.334018,100,745.603313
73.538128,100,778.707792
2.369964,100,812.540415
77.076332,100,848.021341
13.112012,100,885.648456
84.697466,100,920.898738
16.705136,100,955.154568
77.683979,100,988.95991
79.427314,100,1024.962327
68.694455,100,1059.203409
79.634085,100,1094.741388
74.416069,100,1129.693987
45.631623,100,1165.64331
52.697432,100,1200.487955
81.522362,100,1237.565967
80.440461,100,1272.40192
85.990715,100,1311.816593
78.195136,100,1349.037575
76.89496,100,1385.99014
83.894207,100,1427.51899
77.394491,100,1467.694706
80.426426,100,1506.508649
79.980204,100,1545.208525
86.068834,100,1587.717077
79.872921,100,1625.176863
87.117197,100,1662.801959
60.517597,100,1699.614336
35.310661,100,1736.580305
81.960032,100,1776.378322
77.640694,100,1815.650028
79.601255,100,1855.68793
79.513837,100,1896.163809
84.344765,100,1935.529397
68.644421,100,1975.394466
86.568749,100,2016.135055
82.796869,100,2058.770215
86.203956,100,2102.877582
51.286355,100,2145.113825
57.08222,100,2184.962861
55.550103,100,2224.819251
51.455152,100,2267.17134
78.012083,100,2309.194724
-137.174633,100,2350.398604
-15.385666,100,2392.539343
87.230139,100,2435.80189
62.901961,100,2479.678498
74.047876,100,2523.089783
74.933634,100,2567.409094
84.608898,100,2611.795163
71.919866,100,2656.817772
75.840304,100,2703.296271
82.610549,100,2746.814651
76.962325,100,2789.237949
87.500131,100,2833.940925
37.70695,100,2878.711823
85.818952,100,2923.80556
80.854152,100,2968.992247
80.989053,100,3013.946862
86.468443,100,3058.244875
82.782289,100,3102.687302
82.944313,100,3147.224298
77.32823,100,3190.040316
82.244434,100,3237.299596
83.827501,100,3286.083264
76.737419,100,3335.582393
74.998324,100,3385.430571
82.960463,100,3434.337378
-19.46747,100,3484.569825
78.0159,100,3526.288526
74.465623,100,3572.431481
78.69547,100,3619.757973
70.218249,100,3667.409388
82.032761,100,3712.893586
83.513616,100,3762.749535
72.001089,100,3809.358489
84.20928,100,3857.575701
83.586711,100,3903.518595
73.049841,100,3948.240893
82.283519,100,3995.02338
85.454288,100,4044.235836
75.34988,100,4093.516979
83.221381,100,4146.081863
69.095518,100,4195.219847
70.096012,100,4245.260397
80.829375,100,4296.955591
73.617817,100,4347.065204
87.054381,100,4396.228962
82.575033,100,4443.547524
76.513475,100,4492.129222
77.274546,100,4540.070101
81.217763,100,4586.734797
74.223383,100,4636.713562
87.147364,100,4687.267474
70.327443,100,4737.322227
68.712398,100,4789.218059
76.541531,100,4840.744446
-48.320716,100,4887.482426
-6.021446,100,4936.628977
47.534856,100,4988.394039
-79.3016685.474519,100,5103.-111.20469.688972,100,5158.40-21.2483.670825,100,5211.263-21.676.291338,100,5265.944075.084.141671,100,5319.42773.4688.391418,100,5373.159-38.888.12946,100,5428.93151-1186.031366,100,5491.09235789.153347,100,5551.2410316272.741921,100,5609.21465-3663.26001,100,5671.381689-67.085155,100,5733.525848
